"Номер","Дата измерения","TypeOfSample","Matrix","MatrixDescription","AnalysisProgram","AnalysisProgramDescription","AnalysisMode","TaskNumber","TaskName","MaterialName","ID1","ID2","ID3","ID4","ID5","ID6","Comment","Average"
"94549","25 янв. 2018 г., 1:17","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94550","25 янв. 2018 г., 1:33","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94551","25 янв. 2018 г., 2:10","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94552","25 янв. 2018 г., 2:39","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94553","25 янв. 2018 г., 2:43","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Храмова Г.В.","--","--","Z"
"94554","25 янв. 2018 г., 3:03","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-2","5ХНМ","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94555","25 янв. 2018 г., 3:06","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94556","25 янв. 2018 г., 3:31","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-3","5ХНМ","ТАБЛЕТКА","ЦЭМ","Кузьмина С.Н.","--","--","Z"
"94557","25 янв. 2018 г., 4:05","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-4","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94558","25 янв. 2018 г., 4:18","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-230-1","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94559","25 янв. 2018 г., 4:25","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-229-5","5ХНМ","ТАБЛЕТКА","ЦЭМ","Коршунова С.А.","--","--","Z"
"94560","25 янв. 2018 г., 4:31","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-К","5ХНМ","УС.КОНУС","ЦЭМ","Коршунова С.А.","--","--","Z"
"94561","25 янв. 2018 г., 4:35","T","FE","--","FE 1","Steel, low/ mid alloyed","2","110","Типовая рекалиб. проба","--","УГ88","--","--","--","--","--","--","Z"
"94562","25 янв. 2018 г., 4:37","P","FE","--","FE 1","Steel, low/ mid alloyed","2","001","Routine Analysis","--","6-18-1-228-К","5ХНМ","УС.КОНУС","ЦЭМ ПРОВЕРКА","Коршунова С.А.","--","--","Z"
